Category,Link,Press,Date
IT/Science,https://n.news.naver.com/mnews/article/015/0004951246,한국경제,2024/02/21
Column,https://n.news.naver.com/mnews/article/082/0001258936?sid=110,부산일보,2024/03/06
Column,https://n.news.naver.com/mnews/article/028/0002678512?sid=110,한겨레,2024/02/26
Column,https://n.news.naver.com/mnews/article/032/0003280897?sid=110,경향신문,2024/02/25
World,https://n.news.naver.com/mnews/article/123/0002327715,조세일보,2024/02/19
Column,https://n.news.naver.com/mnews/article/024/0000087643?sid=110,매경이코노미,2024/02/24
Column,https://n.news.naver.com/mnews/article/656/0000081907?sid=110,대전일보,2024/03/05
IT/Science,https://n.news.naver.com/mnews/article/366/0000973441,조선비즈,2024/02/27
Column,https://n.news.naver.com/mnews/article/658/0000067336?sid=110,국제신문,2024/02/29
Economy,https://n.news.naver.com/mnews/article/658/0000066616,국제신문,2024/02/21
Column,https://n.news.naver.com/mnews/article/023/0003817611?sid=110,조선일보,2024/02/20
Politics,https://n.news.naver.com/mnews/article/001/0014517542,연합뉴스,2024/02/21
Column,https://n.news.naver.com/mnews/article/008/0005001576?sid=110,머니투데이,2024/02/21
Column,https://n.news.naver.com/mnews/article/025/0003344356?sid=110,중앙일보,2024/02/29
Column,https://n.news.naver.com/mnews/article/469/0000787700?sid=110,한국일보,2024/02/27
Column,https://n.news.naver.com/mnews/article/002/0002322752?sid=110,프레시안,2024/03/09
Society,https://n.news.naver.com/mnews/article/003/0012380039,뉴시스,2024/02/19
Column,https://n.news.naver.com/mnews/article/032/0003281132?sid=110,경향신문,2024/02/26
Column,https://n.news.naver.com/mnews/article/088/0000866324?sid=110,매일신문,2024/03/09
Life/Culture,https://n.news.naver.com/mnews/article/422/0000646278,연합뉴스TV,2024/02/22
IT/Science,https://n.news.naver.com/mnews/article/025/0003342994,중앙일보,2024/02/22
Economy,https://n.news.naver.com/mnews/article/014/0005148895,파이낸셜뉴스,2024/02/28
Life/Culture,https://n.news.naver.com/mnews/article/052/0002002949,YTN,2024/02/26
IT/Science,https://n.news.naver.com/mnews/article/003/0012390843,뉴시스,2024/02/24
Society,https://n.news.naver.com/mnews/article/001/0014512510,연합뉴스,2024/02/19
Society,https://n.news.naver.com/mnews/article/005/0001676751,국민일보,2024/02/26
Economy,https://n.news.naver.com/mnews/article/421/0007372426,뉴스1,2024/02/25
Column,https://n.news.naver.com/mnews/article/023/0003817589?sid=110,조선일보,2024.02.20
Column,https://n.news.naver.com/mnews/article/021/0002622452?sid=110,문화일보,2024/02/21
Column,https://n.news.naver.com/mnews/article/028/0002679786?sid=110,한겨레,2024/03/06
Life/Culture,https://n.news.naver.com/mnews/article/056/0011672227,KBS,2024/02/29
Economy,https://n.news.naver.com/mnews/article/030/0003184917,전자신문,2024/02/28
Column,https://n.news.naver.com/mnews/article/023/0003818025?sid=110,조선일보,2024/02/22
World,https://n.news.naver.com/mnews/article/366/0000971112,조선비즈,2024/02/18
Life/Culture,https://n.news.naver.com/mnews/article/008/0005004735,머니투데이,2024/02/27
Economy,https://n.news.naver.com/mnews/article/008/0005003363,머니투데이,2024/02/24
Column,https://n.news.naver.com/mnews/article/023/0003817595?sid=110,조선일보,2024/02/20
IT/Science,https://n.news.naver.com/mnews/article/036/0000049452,한겨레21,2024/02/21
Column,https://n.news.naver.com/mnews/article/018/0005688821?sid=110,이데일리,2024/03/10
Politics,https://n.news.naver.com/mnews/article/366/0000971947,조선비즈,2024/02/21
Life/Culture,https://n.news.naver.com/mnews/article/449/0000268508,채널A,2024/02/22
Politics,https://n.news.naver.com/mnews/article/052/0002004381,YTN,02.29(목)
Life/Culture,https://n.news.naver.com/mnews/article/009/0005263386,매일경제,2024/02/25
Column,https://n.news.naver.com/mnews/article/088/0000864492?sid=110,매일신문,2024/02/27
Society,https://n.news.naver.com/mnews/article/277/0005384550,아시아경제,2024/02/26
Society,https://n.news.naver.com/mnews/article/008/0005000370,머니투데이,2024/02/19
Column,https://n.news.naver.com/mnews/article/032/0003281390?sid=110,경향신문,2024/02/27
Column,https://n.news.naver.com/mnews/article/028/0002677668?sid=110,한겨레,2024/02/20
World,https://n.news.naver.com/mnews/article/052/0002000383,YTN,2024/02/20
Column,https://n.news.naver.com/mnews/article/028/0002679784?sid=110,한겨레,2024/03/06
IT/Science,https://n.news.naver.com/mnews/article/021/0002623331,문화일보,2024/02/26
Column,https://n.news.naver.com/mnews/article/666/0000034933?sid=110,경기일보,2024/02/29
Society,https://n.news.naver.com/mnews/article/015/0004950660,한국경제,2024/02/20
IT/Science,https://n.news.naver.com/mnews/article/015/0004951782,한국경제,2024/02/22
Politics,https://n.news.naver.com/mnews/article/015/0004950265,한국경제,2024/02/19
Politics,https://n.news.naver.com/mnews/article/020/0003550287,동아일보,2024/02/27
Column,https://n.news.naver.com/mnews/article/024/0000087790?sid=110,매경이코노미,2024/03/04
Politics,https://n.news.naver.com/mnews/article/016/0002268553,헤럴드경제,2024/02/19
Society,https://n.news.naver.com/mnews/article/001/0014513722,연합뉴스,2024/02/19
Column,https://n.news.naver.com/mnews/article/088/0000864264?sid=110,매일신문,2024/02/26
Society,https://n.news.naver.com/mnews/article/009/0005260764,매일경제,2024/02/19
Politics,https://n.news.naver.com/mnews/article/003/0012380307,뉴시스,2024/02/19
IT/Science,https://n.news.naver.com/mnews/article/011/0004302577,서울경제,2024/02/21
Society,https://n.news.naver.com/mnews/article/421/0007368971,뉴스1,2024/02/22
Column,https://n.news.naver.com/mnews/article/032/0003280299?sid=110,경향신문,2024/02/21
Column,https://n.news.naver.com/mnews/article/023/0003819370?sid=110,조선일보,2024/02/29
Column,https://n.news.naver.com/mnews/article/469/0000790115?sid=110,한국일보,2024/03/12
Column,https://n.news.naver.com/mnews/article/025/0003345499?sid=110,중앙일보,2024/03/06
Politics,https://n.news.naver.com/mnews/article/015/0004952521,한국경제,2024/02/25
IT/Science,https://n.news.naver.com/mnews/article/421/0007368898,뉴스1,2024/02/22
Economy,https://n.news.naver.com/mnews/article/015/0004950888,한국경제,2024/02/21
World,https://n.news.naver.com/mnews/article/366/0000973785,조선비즈,2024/02/28
IT/Science,https://n.news.naver.com/mnews/article/029/0002856572,디지털타임스,2024/02/21
Column,https://n.news.naver.com/mnews/article/025/0003342332?sid=110,중앙일보,2024/02/20
Society,https://n.news.naver.com/mnews/article/055/0001132704,SBS,2024/02/21
Society,https://n.news.naver.com/mnews/article/052/0002002495,YTN,02.25(일)
Column,https://n.news.naver.com/mnews/article/666/0000034411?sid=110,경기일보,2024/02/23
Politics,https://n.news.naver.com/mnews/article/003/0012389549,뉴시스,2024/02/23
IT/Science,https://n.news.naver.com/mnews/article/015/0004952618,한국경제,2024/02/25
Life/Culture,https://n.news.naver.com/mnews/article/052/0002002226,YTN,2024/02/24
Column,https://n.news.naver.com/mnews/article/029/0002860348?sid=110,디지털타임스,2024/03/11
Politics,https://n.news.naver.com/mnews/article/014/0005144378,파이낸셜뉴스,2024/02/20
Society,https://n.news.naver.com/mnews/article/002/0002320109,프레시안,2024/02/20
Politics,https://n.news.naver.com/mnews/article/015/0004952369,한국경제,2024/02/24
Life/Culture,https://n.news.naver.com/mnews/article/214/0001333367,MBC,2024/02/28
IT/Science,https://n.news.naver.com/mnews/article/031/0000814328,아이뉴스24,2024/02/21
Column,https://n.news.naver.com/mnews/article/119/0002801649?sid=110,데일리안,2024/02/21
Column,https://n.news.naver.com/mnews/article/032/0003281134?sid=110,경향신문,2024/02/26
Column,https://n.news.naver.com/mnews/article/015/0004956202?sid=110,한국경제,2024/03/06
Life/Culture,https://n.news.naver.com/mnews/article/052/0002000239,YTN,2024/02/20
Life/Culture,https://n.news.naver.com/mnews/article/023/0003818352,조선일보,2024/02/23
World,https://n.news.naver.com/mnews/article/214/0001332565,MBC,2024/02/24
IT/Science,https://n.news.naver.com/mnews/article/138/0002167708,디지털데일리,2024/02/27
Society,https://n.news.naver.com/mnews/article/003/0012387981,뉴시스,2024/02/22
Column,https://n.news.naver.com/mnews/article/020/0003552013?sid=110,동아일보,2024/03/07
World,https://n.news.naver.com/mnews/article/079/0003865734,노컷뉴스,2024/02/21
Column,https://n.news.naver.com/mnews/article/032/0003280552?sid=110,경향신문,2024/02/22
Politics,https://n.news.naver.com/mnews/article/056/0011672106,KBS,2024/02/29
Politics,https://n.news.naver.com/mnews/article/052/0002002818,YTN,02.26(월)
Column,https://n.news.naver.com/mnews/article/032/0003279791?sid=110,경향신문,2024/02/19
Column,https://n.news.naver.com/mnews/article/666/0000034284?sid=110,경기일보,2024/02/22
Life/Culture,https://n.news.naver.com/mnews/article/421/0007370442,뉴스1,2024/02/23
Column,https://n.news.naver.com/mnews/article/011/0004303573?sid=110,서울경제,2024/02/22
Society,https://n.news.naver.com/mnews/article/018/0005676452,이데일리,2024/02/19
Column,https://n.news.naver.com/mnews/article/023/0003817607?sid=110,조선일보,2024/02/20
Column,https://n.news.naver.com/mnews/article/469/0000789540?sid=110,한국일보,2024/03/09
IT/Science,https://n.news.naver.com/mnews/article/421/0007372111,뉴스1,2024/02/25
Column,https://n.news.naver.com/mnews/article/088/0000865747?sid=110,매일신문,2024/03/05
Economy,https://n.news.naver.com/mnews/article/022/0003907543,세계일보,2024/02/25
Column,https://n.news.naver.com/mnews/article/032/0003280043?sid=110,경향신문,2024/02/20
IT/Science,https://n.news.naver.com/mnews/article/023/0003819298,조선일보,2024/02/28
Column,https://n.news.naver.com/mnews/article/082/0001257204?sid=110,부산일보,2024/02/25
Column,https://n.news.naver.com/mnews/article/015/0004952558?sid=110,한국경제,2024/02/25
Column,https://n.news.naver.com/mnews/article/032/0003281130?sid=110,경향신문,2024/02/26
Politics,https://n.news.naver.com/mnews/article/032/0003281268,경향신문,2024/02/27
World,https://n.news.naver.com/mnews/article/008/0005002576,머니투데이,2024/02/22
Economy,https://n.news.naver.com/mnews/article/119/0002802755,데일리안,2024/02/23
Column,https://n.news.naver.com/mnews/article/028/0002679047?sid=110,한겨레,2024/02/29
IT/Science,https://n.news.naver.com/mnews/article/366/0000972972,조선비즈,2024/02/25
Society,https://n.news.naver.com/mnews/article/052/0002001398,YTN,2024/02/22
Column,https://n.news.naver.com/mnews/article/666/0000034410?sid=110,경기일보,2024/02/23
World,https://n.news.naver.com/mnews/article/422/0000647481,연합뉴스TV,2024/02/29
Column,https://n.news.naver.com/mnews/article/421/0007371424?sid=110,뉴스1,2024/02/24
Society,https://n.news.naver.com/mnews/article/056/0011665588,KBS,2024/02/20
Society,https://n.news.naver.com/mnews/article/001/0014525086,연합뉴스,2024/02/24
IT/Science,https://n.news.naver.com/mnews/article/029/0002856551,디지털타임스,2024/02/21
IT/Science,https://n.news.naver.com/mnews/article/008/0005005839,머니투데이,2024/02/29
World,https://n.news.naver.com/mnews/article/469/0000787112,한국일보,2024/02/24
Column,https://n.news.naver.com/mnews/article/022/0003911692?sid=110,세계일보,2024/03/07
Column,https://n.news.naver.com/mnews/article/032/0003279788?sid=110,경향신문,2024/02/19
IT/Science,https://n.news.naver.com/mnews/article/008/0005002186,머니투데이,2024/02/22
Column,https://n.news.naver.com/mnews/article/032/0003281877?sid=110,경향신문,2024/02/29
Society,https://n.news.naver.com/mnews/article/056/0011667298,KBS,2024/02/22
Column,https://n.news.naver.com/mnews/article/028/0002680433?sid=110,한겨레,2024/03/11
IT/Science,https://n.news.naver.com/mnews/article/015/0004950698,한국경제,2024/02/20
Politics,https://n.news.naver.com/mnews/article/032/0003280023,경향신문,2024/02/20
Economy,https://n.news.naver.com/mnews/article/031/0000814761,아이뉴스24,2024/02/22
Society,https://n.news.naver.com/mnews/article/009/0005263029,매일경제,2024/02/23
Politics,https://n.news.naver.com/mnews/article/005/0001677430,국민일보,2024/02/28
Politics,https://n.news.naver.com/mnews/article/011/0004303444,서울경제,2024/02/22
Politics,https://n.news.naver.com/mnews/article/055/0001133877,SBS,2024/02/26
Society,https://n.news.naver.com/mnews/article/005/0001675410,국민일보,2024/02/20
Column,https://n.news.naver.com/mnews/article/001/0014552342?sid=110,연합뉴스,2024/03/09
Society,https://n.news.naver.com/mnews/article/052/0001999935,YTN,2024/02/20
Column,https://n.news.naver.com/mnews/article/032/0003282250?sid=110,경향신문,2024/03/03
Column,https://n.news.naver.com/mnews/article/028/0002680247?sid=110,한겨레,2024/03/10
Column,https://n.news.naver.com/mnews/article/028/0002677702?sid=110,한겨레,2024/02/21
Society,https://n.news.naver.com/mnews/article/421/0007372773,뉴스1,2024/02/25
Column,https://n.news.naver.com/mnews/article/005/0001676346?sid=110,국민일보,2024/02/24
Life/Culture,https://n.news.naver.com/mnews/article/018/0005683521,이데일리,2024/02/29
Column,https://n.news.naver.com/mnews/article/011/0004303555?sid=110,서울경제,2024/02/22
Economy,https://n.news.naver.com/mnews/article/081/0003431785,서울신문,02.21(수)
Column,https://n.news.naver.com/mnews/article/088/0000866429?sid=110,매일신문,2024/03/10
World,https://n.news.naver.com/mnews/article/469/0000786250,한국일보,2024/02/19
Column,https://n.news.naver.com/mnews/article/005/0001675169?sid=110,국민일보,2024/02/20
World,https://n.news.naver.com/mnews/article/016/0002268831,헤럴드경제,2024/02/20
Life/Culture,https://n.news.naver.com/mnews/article/087/0001026951,강원일보,2024/02/20
Column,https://n.news.naver.com/mnews/article/666/0000034071?sid=110,경기일보,2024/02/20
Politics,https://n.news.naver.com/mnews/article/055/0001132108,SBS,2024/02/19
Column,https://n.news.naver.com/mnews/article/001/0014538180?sid=110,연합뉴스,2024/03/02
IT/Science,https://n.news.naver.com/mnews/article/003/0012384333,뉴시스,2024/02/21
Column,https://n.news.naver.com/mnews/article/023/0003819350?sid=110,조선일보,2024.02.29
Column,https://n.news.naver.com/mnews/article/032/0003281879?sid=110,경향신문,2024/02/29
Column,https://n.news.naver.com/mnews/article/469/0000790125?sid=110,한국일보,2024/03/12
Column,https://n.news.naver.com/mnews/article/088/0000866459?sid=110,매일신문,2024.03.10
Column,https://n.news.naver.com/mnews/article/029/0002859199?sid=110,디지털타임스,2024/03/05
Society,https://n.news.naver.com/mnews/article/016/0002271445,헤럴드경제,2024/02/25
Column,https://n.news.naver.com/mnews/article/011/0004308210?sid=110,서울경제,2024/03/05
Life/Culture,https://n.news.naver.com/mnews/article/022/0003906136,세계일보,2024/02/20
Life/Culture,https://n.news.naver.com/mnews/article/422/0000646992,연합뉴스TV,2024/02/27
Life/Culture,https://n.news.naver.com/mnews/article/469/0000786263,한국일보,2024/02/19
World,https://n.news.naver.com/mnews/article/008/0005005743,머니투데이,2024/02/29
Economy,https://n.news.naver.com/mnews/article/011/0004301703,서울경제,2024/02/19
Column,https://n.news.naver.com/mnews/article/656/0000081908?sid=110,대전일보,2024/03/05
World,https://n.news.naver.com/mnews/article/003/0012394024,뉴시스,2024/02/26
Life/Culture,https://n.news.naver.com/mnews/article/469/0000786246,한국일보,2024/02/19
Society,https://n.news.naver.com/mnews/article/056/0011667529,KBS,2024/02/22
Society,https://n.news.naver.com/mnews/article/056/0011670298,KBS,2024/02/27
Column,https://n.news.naver.com/mnews/article/023/0003820365?sid=110,조선일보,2024/03/05
Column,https://n.news.naver.com/mnews/article/088/0000865293?sid=110,매일신문,2024/03/03
World,https://n.news.naver.com/mnews/article/021/0002623022,문화일보,2024/02/24
Column,https://n.news.naver.com/mnews/article/025/0003342342?sid=110,중앙일보,2024/02/20
Life/Culture,https://n.news.naver.com/mnews/article/020/0003549789,동아일보,2024/02/24
IT/Science,https://n.news.naver.com/mnews/article/366/0000971392,조선비즈,2024/02/19
Column,https://n.news.naver.com/mnews/article/658/0000066993?sid=110,국제신문,2024/02/26
Economy,https://n.news.naver.com/mnews/article/018/0005677653,이데일리,2024/02/21
Life/Culture,https://n.news.naver.com/mnews/article/009/0005264033,매일경제,2024/02/26
Life/Culture,https://n.news.naver.com/mnews/article/366/0000971445,조선비즈,2024/02/19
Column,https://n.news.naver.com/mnews/article/005/0001678027?sid=110,국민일보,2024/03/02
Column,https://n.news.naver.com/mnews/article/032/0003282514?sid=110,경향신문,2024/03/04
Column,https://n.news.naver.com/mnews/article/666/0000034938?sid=110,경기일보,2024/02/29
Column,https://n.news.naver.com/mnews/article/016/0002269748?sid=110,헤럴드경제,2024/02/21
Column,https://n.news.naver.com/mnews/article/028/0002677711?sid=110,한겨레,2024/02/21
Economy,https://n.news.naver.com/mnews/article/008/0005003214,머니투데이,2024/02/23
Society,https://n.news.naver.com/mnews/article/421/0007363356,뉴스1,2024/02/20
World,https://n.news.naver.com/mnews/article/056/0011667222,KBS,2024/02/22
Life/Culture,https://n.news.naver.com/mnews/article/421/0007363822,뉴스1,2024/02/21
Society,https://n.news.naver.com/mnews/article/052/0002002243,YTN,2024/02/24
Column,https://n.news.naver.com/mnews/article/023/0003818093?sid=110,조선일보,2024/02/22
Politics,https://n.news.naver.com/mnews/article/003/0012380573,뉴시스,2024/02/19
Politics,https://n.news.naver.com/mnews/article/031/0000815277,아이뉴스24,2024/02/24
IT/Science,https://n.news.naver.com/mnews/article/015/0004950975,한국경제,2024/02/21
Column,https://n.news.naver.com/mnews/article/025/0003342334?sid=110,중앙일보,2024/02/20
IT/Science,https://n.news.naver.com/mnews/article/029/0002858291,디지털타임스,2024/02/29
Column,https://n.news.naver.com/mnews/article/469/0000788915?sid=110,한국일보,2024/03/05
IT/Science,https://n.news.naver.com/mnews/article/018/0005677581,이데일리,2024/02/21
Economy,https://n.news.naver.com/mnews/article/421/0007367944,뉴스1,2024/02/22
Column,https://n.news.naver.com/mnews/article/032/0003281883?sid=110,경향신문,2024/02/29
World,https://n.news.naver.com/mnews/article/586/0000073058,시사저널,2024/02/19
Column,https://n.news.naver.com/mnews/article/032/0003282507?sid=110,경향신문,2024/03/04
Politics,https://n.news.naver.com/mnews/article/025/0003343020,중앙일보,2024/02/22
Economy,https://n.news.naver.com/mnews/article/018/0005681690,이데일리,2024/02/27
Column,https://n.news.naver.com/mnews/article/032/0003282253?sid=110,경향신문,2024/03/03
Column,https://n.news.naver.com/mnews/article/666/0000034285?sid=110,경기일보,2024/02/22
Column,https://n.news.naver.com/mnews/article/032/0003282765?sid=110,경향신문,2024/03/05
Life/Culture,https://n.news.naver.com/mnews/article/056/0011665049,KBS,2024/02/19
Column,https://n.news.naver.com/mnews/article/011/0004305035?sid=110,서울경제,2024/02/26
Society,https://n.news.naver.com/mnews/article/001/0014514274,연합뉴스,2024/02/19
Column,https://n.news.naver.com/mnews/article/028/0002678327?sid=110,한겨레,2024/02/25
Column,https://n.news.naver.com/mnews/article/014/0005154433?sid=110,파이낸셜뉴스,2024/03/11
Life/Culture,https://n.news.naver.com/mnews/article/014/0005146209,파이낸셜뉴스,2024/02/22
Column,https://n.news.naver.com/mnews/article/469/0000786471?sid=110,한국일보,2024/02/20
Column,https://n.news.naver.com/mnews/article/028/0002678679?sid=110,한겨레,2024/02/27
Politics,https://n.news.naver.com/mnews/article/088/0000863702,매일신문,2024/02/22
Column,https://n.news.naver.com/mnews/article/025/0003345504?sid=110,중앙일보,2024/03/06
Politics,https://n.news.naver.com/mnews/article/056/0011671396,KBS,2024/02/28
IT/Science,https://n.news.naver.com/mnews/article/011/0004304371,서울경제,2024/02/25
Life/Culture,https://n.news.naver.com/mnews/article/056/0011667309,KBS,2024/02/22
Column,https://n.news.naver.com/mnews/article/023/0003818058?sid=110,조선일보,2024/02/22
IT/Science,https://n.news.naver.com/mnews/article/025/0003343250,중앙일보,2024/02/23
Life/Culture,https://n.news.naver.com/mnews/article/448/0000448767,TV조선,2024/02/21
Column,https://n.news.naver.com/mnews/article/032/0003279792?sid=110,경향신문,2024/02/19
World,https://n.news.naver.com/mnews/article/008/0005002155,머니투데이,2024/02/22
IT/Science,https://n.news.naver.com/mnews/article/277/0005383509,아시아경제,2024/02/22
Politics,https://n.news.naver.com/mnews/article/057/0001801487,MBN,2024/02/25
Politics,https://n.news.naver.com/mnews/article/056/0011668051,KBS,2024/02/23
Society,https://n.news.naver.com/mnews/article/014/0005145402,파이낸셜뉴스,2024/02/21
Column,https://n.news.naver.com/mnews/article/025/0003342343?sid=110,중앙일보,2024/02/20
Economy,https://n.news.naver.com/mnews/article/005/0001675422,국민일보,2024/02/20
Life/Culture,https://n.news.naver.com/mnews/article/448/0000449192,TV조선,2024/02/25
Politics,https://n.news.naver.com/mnews/article/469/0000786479,한국일보,2024/02/20
Society,https://n.news.naver.com/mnews/article/020/0003550239,동아일보,2024/02/27
IT/Science,https://n.news.naver.com/mnews/article/030/0003183103,전자신문,2024/02/22
Column,https://n.news.naver.com/mnews/article/008/0005005497?sid=110,머니투데이,2024/02/29
Life/Culture,https://n.news.naver.com/mnews/article/277/0005384044,아시아경제,2024/02/24
Economy,https://n.news.naver.com/mnews/article/079/0003868321,노컷뉴스,2024/02/28
World,https://n.news.naver.com/mnews/article/001/0014514358,연합뉴스,2024/02/20
Politics,https://n.news.naver.com/mnews/article/052/0002002469,YTN,2024/02/25
Politics,https://n.news.naver.com/mnews/article/003/0012400179,뉴시스,2024/02/29
